,Location,Year,Fips,poverty_pct,unemployment_rt,Household Type,median_income,Type,limited_english_pct
178,Jackson Heights,2014,403,0.17076,0.07,All Households,53626.65805,Households,0.306
179,Jackson Heights,2016,403,0.155,0.051,All Households,56549.57555,Households,0.33299999999999996
180,Jamaica/St. Albans,2016,412,0.11199999999999999,0.091,All Households,64019.91511,Households,0.08
181,Jamaica/St. Albans,2013,412,0.16126,0.14755,All Households,56556.34599,Households,0.077
182,Jamaica/St. Albans,2018,412,0.13062,0.071,All Households,65394.73094,Households,0.08612
183,Jamaica/St. Albans,2014,412,0.15148,0.126,All Households,56790.64169,Households,0.1
184,Jamaica/St. Albans,2017,412,0.113,0.07400000000000001,All Households,64317.88089,Households,0.0786
185,Jamaica/St. Albans,2015,412,0.13155999999999998,0.111,All Households,62928.05245,Households,0.08800000000000001
186,Lower East Side,2014,103,0.21811999999999998,0.067,All Households,44715.18519,Households,0.221
187,Lower East Side,2015,103,0.29359,0.065,All Households,45611.6423,Households,0.226
188,Lower East Side,2017,103,0.273,0.063,All Households,41283.59003,Households,0.22141999999999998
189,Lower East Side,2013,103,0.29904000000000003,0.10817,All Households,44117.00584,Households,0.225
190,Lower East Side,2018,103,0.29965,0.06,All Households,49252.47161,Households,0.18903
191,Lower East Side,2016,103,0.255,0.055999999999999994,All Households,43900.4966,Households,0.221
192,Manhattanville,2017,109,0.22699999999999998,0.057,All Households,52196.87535,Households,0.13685
193,Manhattanville,2016,109,0.275,0.07400000000000001,All Households,52239.10866,Households,0.11900000000000001
194,Manhattanville,2018,109,0.19993,0.044000000000000004,All Households,61108.45457,Households,0.11664000000000001
195,Manhattanville,2013,109,0.24079,0.07819,All Households,50126.71533,Households,0.15
196,Manhattanville,2015,109,0.25604,0.076,All Households,52534.10576,Households,0.126
197,Manhattanville,2014,109,0.25943,0.075,All Households,45654.5435,Households,0.141
198,Midtown Business District,2015,105,0.13225,0.048,All Households,110366.62081,Households,0.065
199,Midtown Business District,2013,105,0.13691,0.0645,All Households,110625.0438,Households,0.062
200,Midtown Business District,2018,105,0.11104000000000001,0.053,All Households,102911.35749,Households,0.0734
201,Midtown Business District,2016,105,0.127,0.033,All Households,108187.81834,Households,0.075
202,Midtown Business District,2017,105,0.138,0.048,All Households,106359.6856,Households,0.08922000000000001
203,Midtown Business District,2014,105,0.13027,0.051,All Households,106540.96038,Households,0.068
204,Morrisania,2017,203,0.358,0.145,All Households,27087.14127,Households,0.20876
205,Morrisania,2015,203,0.42083000000000004,0.157,All Households,25951.41445,Households,0.185
206,Morrisania,2013,203,0.41895,0.17785,All Households,26667.1927,Households,0.19
207,Morrisania,2014,203,0.44217,0.139,All Households,23825.54264,Households,0.198
208,Morrisania,2016,203,0.363,0.11599999999999999,All Households,27499.20204,Households,0.20800000000000002
209,Morrisania,2018,203,0.37658,0.133,All Households,26949.58085,Households,0.22480999999999998
210,Mott Haven,2015,201,0.40399999999999997,0.114,All Households,26338.81341,Households,0.254
211,Mott Haven,2014,201,0.44993,0.11,All Households,22825.6503,Households,0.272
212,Mott Haven,2013,201,0.42875,0.12272999999999999,All Households,25374.45109,Households,0.266
213,Mott Haven,2018,201,0.37653000000000003,0.14,All Households,26195.15549,Households,0.24327
214,Mott Haven,2016,201,0.369,0.106,All Households,29097.24958,Households,0.251
215,Mott Haven,2017,201,0.442,0.135,All Households,21866.20222,Households,0.21969
216,Murray Hill/Stuyvesant,2017,106,0.08,0.039,All Households,117208.30886,Households,0.042230000000000004
217,Murray Hill/Stuyvesant,2018,106,0.07874,0.027000000000000003,All Households,137342.06869,Households,0.04347
218,Murray Hill/Stuyvesant,2014,106,0.10232999999999999,0.040999999999999995,All Households,114176.89492,Households,0.049
219,Murray Hill/Stuyvesant,2013,106,0.09354,0.03095,All Households,118805.81168,Households,0.036000000000000004
220,Murray Hill/Stuyvesant,2016,106,0.071,0.033,All Households,117617.36418,Households,0.052000000000000005
221,Murray Hill/Stuyvesant,2015,106,0.10037,0.037000000000000005,All Households,115304.60877,Households,0.031
222,Park Slope,2018,306,0.12347999999999999,0.055,All Households,124868.08816,Households,0.04195
223,Park Slope,2014,306,0.09064,0.068,All Households,122197.65289,Households,0.047
224,Park Slope,2016,306,0.106,0.054000000000000006,All Households,110662.66129,Households,0.046
225,Park Slope,2015,306,0.08489,0.046,All Households,120287.91917,Households,0.040999999999999995
226,Park Slope,2013,306,0.10907,0.04726,All Households,111893.60146,Households,0.055
227,Park Slope,2017,306,0.078,0.042,All Households,140591.98338,Households,0.044910000000000005
228,Pelham Parkway,2018,211,0.18497,0.069,All Households,55409.03056,Households,0.13213
229,Pelham Parkway,2017,211,0.16399999999999998,0.099,All Households,50079.71468,Households,0.13114
230,Pelham Parkway,2015,211,0.23683,0.121,All Households,49157.58383,Households,0.172
231,Pelham Parkway,2016,211,0.196,0.085,All Households,54130.13158,Households,0.175
232,Pelham Parkway,2014,211,0.20206,0.105,All Households,51789.01809,Households,0.141
233,Pelham Parkway,2013,211,0.2116,0.13249,All Households,47351.05839,Households,0.17300000000000001
234,Queens Village,2018,413,0.07091,0.06,All Households,93064.12115,Households,0.06585
235,Queens Village,2017,413,0.08900000000000001,0.075,All Households,89543.38089,Households,0.04637
236,Queens Village,2014,413,0.08668,0.076,All Households,81863.61757,Households,0.07
237,Queens Village,2013,413,0.08887,0.09631,All Households,84517.37956,Households,0.062
238,Queens Village,2015,413,0.06622,0.075,All Households,87457.2055,Households,0.062
239,Queens Village,2016,413,0.083,0.065,All Households,85814.08744,Households,0.048
240,Rego Park/Forest Hills,2016,406,0.131,0.044000000000000004,All Households,75178.54839,Households,0.156
241,Rego Park/Forest Hills,2017,406,0.081,0.03,All Households,78686.41413,Households,0.18911
242,Rego Park/Forest Hills,2018,406,0.08077999999999999,0.037000000000000005,All Households,82949.11979,Households,0.16050999999999999
243,Rego Park/Forest Hills,2014,406,0.11243,0.064,All Households,66252.32558,Households,0.198
244,Rego Park/Forest Hills,2013,406,0.09673999999999999,0.06531,All Households,67774.39708,Households,0.18100000000000002
245,Rego Park/Forest Hills,2015,406,0.14056,0.053,All Households,76543.12984,Households,0.17300000000000001
246,Ridgewood/Glendale,2016,405,0.091,0.044000000000000004,All Households,79591.29032,Households,0.13699999999999998
247,Ridgewood/Glendale,2017,405,0.084,0.048,All Households,74292.52355,Households,0.12597
248,Ridgewood/Glendale,2014,405,0.13394,0.07,All Households,68814.21189,Households,0.122
249,Ridgewood/Glendale,2015,405,0.12295999999999999,0.052000000000000005,All Households,67221.81427,Households,0.13
250,Ridgewood/Glendale,2018,405,0.09756000000000001,0.040999999999999995,All Households,78118.15035,Households,0.14428
251,Ridgewood/Glendale,2013,405,0.13298,0.08206000000000001,All Households,64377.65255,Households,0.14
252,Riverdale,2015,208,0.17537,0.07400000000000001,All Households,66598.09114,Households,0.131
253,Riverdale,2013,208,0.15483,0.11892,All Households,66631.1562,Households,0.11
254,Riverdale,2016,208,0.17800000000000002,0.066,All Households,62107.58489,Households,0.17300000000000001
255,Riverdale,2018,208,0.18824000000000002,0.087,All Households,55610.6179,Households,0.13572
256,Riverdale,2014,208,0.22473,0.098,All Households,58614.22911,Households,0.11599999999999999
257,Riverdale,2017,208,0.185,0.08199999999999999,All Households,56303.95845,Households,0.13168
258,Sheepshead Bay,2017,315,0.14,0.052000000000000005,All Households,63904.87812,Households,0.2574
259,Sheepshead Bay,2016,315,0.162,0.075,All Households,64081.70628,Households,0.275
260,Sheepshead Bay,2013,315,0.15849000000000002,0.08337,All Households,56133.12701,Households,0.235
261,Sheepshead Bay,2014,315,0.17858,0.07200000000000001,All Households,56985.21533,Households,0.251
262,Sheepshead Bay,2015,315,0.16407,0.076,All Households,58713.06535,Households,0.298
263,Sheepshead Bay,2018,315,0.14459,0.045,All Households,62821.947,Households,0.28044
264,South Beach,2015,502,0.13965,0.049,All Households,79717.85899,Households,0.087
265,South Beach,2016,502,0.12,0.053,All Households,87522.93294,Households,0.062
266,South Beach,2018,502,0.09346,0.038,All Households,92019.53218,Households,0.07743
267,South Beach,2013,502,0.12603,0.07162,All Households,75476.98248,Households,0.051
268,South Beach,2014,502,0.09053,0.059000000000000004,All Households,77244.65547,Households,0.079
269,South Beach,2017,502,0.102,0.048,All Households,84985.74931,Households,0.08077999999999999
270,St. George,2015,501,0.21846,0.055,All Households,60304.74635,Households,0.075
271,St. George,2016,501,0.21,0.047,All Households,69861.31154,Households,0.064
272,St. George,2018,501,0.16952,0.055,All Households,74473.28826,Households,0.08503
273,St. George,2013,501,0.18244000000000002,0.08292999999999999,All Households,66748.7781,Households,0.054000000000000006
274,St. George,2017,501,0.179,0.039,All Households,65569.40443,Households,0.08222
275,St. George,2014,501,0.22489,0.069,All Households,62265.72782,Households,0.084
276,Sunnyside/Woodside,2017,402,0.09300000000000001,0.03,All Households,70251.14543,Households,0.24040999999999998
277,Sunnyside/Woodside,2016,402,0.10099999999999999,0.035,All Households,66345.60696,Households,0.303
278,Sunnyside/Woodside,2015,402,0.11585,0.047,All Households,64970.79966,Households,0.244
279,Sunnyside/Woodside,2013,402,0.15415,0.05741,All Households,67974.46423,Households,0.22899999999999998
280,Sunnyside/Woodside,2014,402,0.15816,0.053,All Households,61901.44272,Households,0.268
281,Sunnyside/Woodside,2018,402,0.07795,0.043,All Households,72348.4762,Households,0.24326
282,Sunset Park,2013,307,0.30739,0.10630999999999999,All Households,49549.59854,Households,0.331
283,Sunset Park,2014,307,0.27574,0.065,All Households,51941.43411,Households,0.34700000000000003
284,Sunset Park,2015,307,0.31565,0.059000000000000004,All Households,48799.32072,Households,0.382
285,Sunset Park,2016,307,0.258,0.053,All Households,56746.66808,Households,0.35200000000000004
286,Sunset Park,2017,307,0.221,0.067,All Households,59225.22299,Households,0.3559
287,Sunset Park,2018,307,0.17142000000000002,0.053,All Households,63589.6079,Households,0.32111
288,The Rockaways,2018,414,0.16398,0.075,All Households,61748.85073,Households,0.12274000000000002
289,The Rockaways,2017,414,0.198,0.1,All Households,56331.07479,Households,0.08865
290,The Rockaways,2015,414,0.1994,0.098,All Households,56473.92089,Households,0.078
291,The Rockaways,2014,414,0.19724,0.077,All Households,47820.79673,Households,0.147
292,The Rockaways,2013,414,0.19152,0.07877,All Households,51369.98978,Households,0.111
293,The Rockaways,2016,414,0.228,0.09,All Households,47262.78862,Households,0.1
294,Throgs Neck,2016,210,0.147,0.084,All Households,63282.68251,Households,0.084
295,Throgs Neck,2015,210,0.11805999999999998,0.07200000000000001,All Households,54883.319,Households,0.085
296,Throgs Neck,2013,210,0.09504,0.0887,All Households,61623.98102,Households,0.095
297,Throgs Neck,2018,210,0.12702,0.071,All Households,55951.6874,Households,0.08807000000000001
298,Throgs Neck,2017,210,0.102,0.077,All Households,62077.65374,Households,0.09992000000000001
299,Throgs Neck,2014,210,0.10993,0.07400000000000001,All Households,59411.98105,Households,0.064
300,Tottenville,2015,503,0.07266,0.055999999999999994,All Households,87632.02064,Households,0.040999999999999995
301,Tottenville,2014,503,0.1028,0.055999999999999994,All Households,89415.23686,Households,0.039
302,Tottenville,2013,503,0.06867000000000001,0.06494,All Households,93619.33577,Households,0.026000000000000002
303,Tottenville,2018,503,0.07447000000000001,0.027999999999999997,All Households,88459.17388,Households,0.043039999999999995
304,Tottenville,2017,503,0.066,0.044000000000000004,All Households,100952.06094,Households,0.04983
305,Tottenville,2016,503,0.059000000000000004,0.052000000000000005,All Households,95915.87861,Households,0.042
306,Unionport/Soundview,2014,209,0.29789,0.14300000000000002,All Households,38977.42463,Households,0.16
307,Unionport/Soundview,2017,209,0.247,0.085,All Households,41722.6662,Households,0.14777
308,Unionport/Soundview,2018,209,0.24957,0.076,All Households,44261.65765,Households,0.14976
309,Unionport/Soundview,2015,209,0.3038,0.11800000000000001,All Households,39697.06363,Households,0.154
310,Unionport/Soundview,2013,209,0.30601999999999996,0.16958,All Households,35575.67737,Households,0.195
311,Unionport/Soundview,2016,209,0.28,0.096,All Households,39904.31239,Households,0.16899999999999998
312,University Heights,2016,205,0.41100000000000003,0.127,All Households,28355.75552,Households,0.244
313,University Heights,2018,205,0.36423,0.135,All Households,31016.96187,Households,0.24011
314,University Heights,2014,205,0.45428,0.121,All Households,22561.89492,Households,0.3
315,University Heights,2015,205,0.38266,0.078,All Households,26094.93551,Households,0.255
316,University Heights,2017,205,0.364,0.16,All Households,31461.21607,Households,0.26408000000000004
317,University Heights,2013,205,0.43107,0.15686,All Households,26669.39124,Households,0.26899999999999996
318,Upper East Side,2016,108,0.065,0.034,All Households,124616.81239,Households,0.025
319,Upper East Side,2018,108,0.05442999999999999,0.027000000000000003,All Households,123902.91239,Households,0.03285
320,Upper East Side,2014,108,0.08118,0.03,All Households,124568.20844,Households,0.040999999999999995
321,Upper East Side,2017,108,0.061,0.021,All Households,136987.59557,Households,0.0195
322,Upper East Side,2013,108,0.0624,0.03452,All Households,118380.39416,Households,0.031
323,Upper East Side,2015,108,0.04529,0.027999999999999997,All Households,110557.62253,Households,0.025
324,Upper West Side,2014,107,0.0836,0.044000000000000004,All Households,114777.91128,Households,0.061
325,Upper West Side,2013,107,0.10937999999999999,0.06647,All Households,109127.83796,Households,0.052000000000000005
326,Upper West Side,2015,107,0.1167,0.037000000000000005,All Households,109031.76698,Households,0.053
327,Upper West Side,2017,107,0.099,0.048,All Households,129213.54848,Households,0.04616
328,Upper West Side,2016,107,0.10400000000000001,0.052000000000000005,All Households,118543.16638,Households,0.043
329,Upper West Side,2018,107,0.08459,0.051,All Households,124029.159,Households,0.04966
330,Washington Heights,2018,112,0.18400999999999998,0.083,All Households,54973.2761,Households,0.21716999999999997
331,Washington Heights,2017,112,0.187,0.087,All Households,58802.8338,Households,0.22118000000000002
332,Washington Heights,2013,112,0.28917,0.13584000000000002,All Households,41180.85547,Households,0.231
333,Washington Heights,2014,112,0.24297,0.11699999999999999,All Households,48813.12231,Households,0.213
334,Washington Heights,2016,112,0.222,0.09,All Households,55432.00764,Households,0.23199999999999998
335,Washington Heights,2015,112,0.21681999999999998,0.08900000000000001,All Households,48892.12382,Households,0.22399999999999998
336,Williamsbridge,2015,212,0.19745,0.106,All Households,51227.30868,Households,0.034
337,Williamsbridge,2013,212,0.21135,0.14543,All Households,50162.99124,Households,0.069
338,Williamsbridge,2017,212,0.146,0.07200000000000001,All Households,61296.49446,Households,0.0635
339,Williamsbridge,2018,212,0.1944,0.094,All Households,52191.77799,Households,0.08357
340,Williamsbridge,2016,212,0.17600000000000002,0.092,All Households,54739.52037,Households,0.053
341,Williamsbridge,2014,212,0.18905999999999998,0.136,All Households,48541.80017,Households,0.068
342,Williamsburg/Greenpoint,2016,301,0.209,0.061,All Households,74245.28862,Households,0.11800000000000001
343,Williamsburg/Greenpoint,2017,301,0.233,0.055,All Households,79897.26316,Households,0.12527
344,Williamsburg/Greenpoint,2018,301,0.23708,0.024,All Households,82119.3537,Households,0.10615
345,Williamsburg/Greenpoint,2014,301,0.23065,0.064,All Households,62499.21619,Households,0.106
346,Williamsburg/Greenpoint,2015,301,0.22821,0.052000000000000005,All Households,72415.5503,Households,0.114
347,Williamsburg/Greenpoint,2013,301,0.25998000000000004,0.06466000000000001,All Households,57622.63796,Households,0.152
348,Woodhaven,2016,409,0.134,0.055,All Households,70879.80051,Households,0.163
349,Woodhaven,2018,409,0.12508,0.053,All Households,73096.79286,Households,0.14275
350,Woodhaven,2013,409,0.16319,0.08802,All Households,68739.5562,Households,0.115
351,Woodhaven,2015,409,0.15217999999999998,0.069,All Households,65253.52537,Households,0.12300000000000001
352,Woodhaven,2014,409,0.14494,0.077,All Households,66236.11111,Households,0.14400000000000002
353,Woodhaven,2017,409,0.122,0.059000000000000004,All Households,72917.93352,Households,0.16562000000000002
